연번,시군명,시설명,주소
250,창원시,럭키아파트경로당,성산구 반송로 105 (반림동)
251,창원시,반지경로당,성산구 창원천로188번길 23-1 (반지동)
252,창원시,반지제2경로당,성산구 반지로4번길 29-19 (반지동)
253,창원시,반지제3경로당,성산구 반지로 58 (반지동)
254,창원시,반지제4경로당,성산구 창원천로162번길 14 (반지동)
255,창원시,트리비앙(아)경로당,성산구 원이대로 495 (반림동)
256,창원시,현대건설(아)경로당,성산구 반송로 177 (반림동)
257,창원시,현대산업아파트경로당,성산구 외동반림로 219 (반림동)
258,창원시,내동아파트경로당,성산구 삼동로128번길 60 (내동)
259,창원시,내동그라미아파트경로당,성산구 연덕로184번길 19 (내동)
260,창원시,대우아파트경로당,성산구 상남로 48 (상남동)
261,창원시,대호타워아파트경로당,성산구 상남로24번길 13 (상남동)
262,창원시,동성샛별아파트경로당,성산구 연덕로184번길 1 (내동)
263,창원시,외동경로당,성산구 용지로21번길 30 (중앙동)
264,창원시,외동월드메르디앙(아)경로당,성산구 창원대로780번길 34 (외동)
265,창원시,장수경로당,성산구 외동반림로134번길 15 (중앙동)
266,창원시,중앙경로당,성산구 원이대로566번길 27-25 (중앙동)
267,창원시,중앙제1경로당,성산구 원이대로580번길 31 (중앙동)
268,창원시,송죽경로당,성산구 외동반림로46번길 17 (중앙동)
269,창원시,내동월드메르디앙(아)경로당,성산구 삼동로128번길 24 (내동)
270,창원시,상남꿈에그린아파트경로당,성산구 토월로27번길 18 (상남동)
271,창원시,대원경로당,성산구 대원로27번길 30 (대원동)
272,창원시,대원파크빌경로당,성산구 삼동로 121 (대원동)
273,창원시,대동1차(아)경로당,성산구 창원대로548 (대원동)
274,창원시,대원대동2차(아)경로당,성산구 창원대로538 (대원동)
275,창원시,The City7 자이 경로당,성산구 창원천로 94번길 19 (대원동)
276,창원시,포레나대원아파트경로당,성산구 창원천로 34 (대원동)
277,창원시,용호경로당,성산구 창이대로 440번길 17 (용호동)
278,창원시,용지경로당,성산구 용지로 239번길 19-4 (용호동)
279,창원시,일동아파트1단지경로당,성산구 외동반림로 216 (용호동)
280,창원시,일동아파트2단지경로당,성산구 외동반림로 216 (용호동)
281,창원시,무학아파트1단지경로당,성산구 외동반림로 200 (용호동)
282,창원시,무학아파트2단지경로당,성산구 외동반림로 200 (용호동)
283,창원시,롯데아파트경로당,성산구 용지로 229 (용호동)
284,창원시,신월제1경로당,성산구 신사로 21번길 36 (신월동)
285,창원시,신월제2경로당,성산구 창이대로 586번길 1 (신월동)
286,창원시,신월은아아파트경로당,성산구 원이대로 663 (신월동)
287,창원시,용지아이파크경로당,성산구 원이대로 579번길 13 (용호동)
288,창원시,용지더샵레이크파크경로당,성산구 외동반림로 156 (용호동)
289,창원시,성원1단지(아)경로당,성산구 원이대로 774 (상남동)
290,창원시,성원2단지(아)경로당,성산구 원이대로 774 (상남동)
291,창원시,성원3단지1경로당,성산구 원이대로 774 (상남동)
292,창원시,성원3단지2경로당,성산구 원이대로 774 (상남동)
293,창원시,성원5단지1경로당,성산구 원이대로 774 (상남동)
294,창원시,성원5단지2경로당,성산구 원이대로 774 (상남동)
295,창원시,상남동대동아파트경로당,성산구 동산로 115 (상남동)
296,창원시,상남경로당,성산구 단정로58번길 6 (상남동)
297,창원시,동산경로당,성산구 동산로54번길 17 (상남동)
298,창원시,토월고산경로당,성산구 비음로 55번길 6-22 (사파동)
