연번,시군명,시설명,주소,분회명,회원수,운영형태
1127,진주시,대사경로당,진주시 진성면 대사길 29-9 ,진성면,42,남여혼합
1128,진주시,대사웃골경로당,진주시 진성면 대사길 75-3 ,진성면,18,남여혼합
1129,진주시,두소경로당,진주시 진성면 일사로 501 ,진성면,64,남여혼합
1130,진주시,장곡경로당,진주시 진성면 일사로 658 ,진성면,35,남여혼합
1131,진주시,내촌경로당,진주시 진성면 일사로693번길 28 ,진성면,53,남여혼합
1132,진주시,사곡경로당,진주시 진성면 온수길59번길 21 ,진성면,24,남여혼합
1133,진주시,천곡경로당,진주시 진성면 동부로1602번길 78 ,진성면,43,남여혼합
1134,진주시,대흥경로당,진주시 진성면 천곡길 24 ,진성면,71,남여혼합
1135,진주시,동산경로당,진주시 진성면진의로94번길 9 ,진성면,79,남여혼합
1136,진주시,월정경로당,진주시 진성면 동산길 60 ,진성면,74,남여혼합
1137,진주시,진동경로당,진주시 진성면진의로215번길 25 ,진성면,48,남여혼합
1138,진주시,가좌경로당,진주시 진성면진의로 349 ,진성면,87,남여혼합
1139,진주시,반성경로회경로당,진주시 떡보길 13 ,일반성,37,남여혼합
1140,진주시,창촌경로당,진주시 창촌길75번길 13 ,일반성,62,남여혼합
1141,진주시,구리경로당,진주시 동부로 2036 ,일반성,74,남여혼합
1142,진주시,시정경로당,진주시 창촌길70번길 10-2 ,일반성,45,남여혼합
1143,진주시,신기경로당,진주시 창촌길45번길 18-4 ,일반성,55,남여혼합
1144,진주시,신촌경로당,진주시 창촌길 32-1 ,문산읍,42,남여혼합
1145,진주시,신촌노모정경로당,진주시 창촌길 32-6 ,일반성,35,여성전용
1146,진주시,선동경로당,진주시 동부로2059번길 38 ,일반성,27,남여혼합
1147,진주시,가곡경로당,진주시 공치고개길193번길 12 ,일반성,27,남여혼합
1148,진주시,소아경로당,진주시 반성로127번길 49(1.2층) ,일반성,44,남여혼합
1149,진주시,개암경로당,진주시 개암길9번길 4 ,일반성,22,남성전용
1150,진주시,개암할머니경로당,진주시 개암길 39-2 ,일반성,29,여성전용
1151,진주시,도동경로당,진주시 반성로33번길 3-1 ,진성면,24,남여혼합
1152,진주시,남평경로당,진주시 동부로2060번길 28-2 ,일반성,16,남여혼합
1153,진주시,답천경로당,진주시 수목원로277번길 28-2 ,일반성,46,남여혼합
1154,진주시,도장경로당,진주시 떡보길110번길 32-6 ,일반성,22,남여혼합
1155,진주시,양전경로당,진주시 양전길91번길 2 ,일반성,24,남여혼합
1156,진주시,원당경로당,진주시 일사로782번길 21-7 ,문산읍,45,남여혼합
1157,진주시,운천본동경로당,진주시 운천길 107 ,일반성,17,남여혼합
1158,진주시,포실경로당,진주시 운천길151번길 9 ,일반성,14,남여혼합
1159,진주시,상촌경로당,진주시 운천길202번길 68-7 ,내동면,25,남여혼합
1160,진주시,남산경로당,진주시 일사로 412 ,일반성,26,남여혼합
1161,진주시,관동경로당,진주시 일사로375번길 28 ,일반성,20,남여혼합
1162,진주시,금야경로당,진주시 일사로 354 ,일반성,58,남여혼합
1163,진주시,상남경로당,진주시 수목원로 57 ,일반성,57,남여혼합
1164,진주시,원동경로당,진주시 남산길 115 ,일반성,29,남여혼합
1165,진주시,태완노블리안아파트경로당,진주시 공치고개길 34 ,,,
1166,진주시,진안경로당,진주시 이반성면 장안로 212-2 ,이반성,13,남여혼합
1167,진주시,장안경로당,진주시 이반성면 장안로65번길 69 ,이반성,20,남여혼합
1168,진주시,검정경로당,진주시 이반성면 장안로66번길 18-10 ,이반성,54,남여혼합
1169,진주시,송죽경로당,진주시 이반성면 오봉산로1025번길 40 ,이반성,60,남여혼합
1170,진주시,중도경로당,진주시 이반성면 오봉산로949번길 14-1 ,이반성,40,남여혼합
1171,진주시,죽산경로당,진주시 이반성면 부평길 42번길 4 ,이반성,29,남여혼합
1172,진주시,삼거경로당,진주시 이반성면 오봉산로 881 ,이반성,40,남여혼합
1173,진주시,지화경로당,진주시 이반성면 오봉산로761번길 83 ,이반성,27,남여혼합
1174,진주시,동촌경로당,진주시 이반성면 하곡로 181 ,이반성,44,남여혼합
1175,진주시,서촌경로당,진주시 이반성면 하곡로 85 ,이반성,36,남여혼합
1176,진주시,용암경로당,진주시 이반성면 용암길 69 ,이반성,45,남여혼합
1177,진주시,모곡경로당,진주시 이반성면 반성로 276 ,이반성,25,남여혼합
1178,진주시,하동경로당,진주시 이반성면 반성로229번길 13-2 ,이반성,30,남여혼합
1179,진주시,상촌경로당,진주시 이반성면 오봉산로554번길 18-1 ,내동면,25,남여혼합
1180,진주시,중촌경로당,진주시 이반성면 가산길 8 ,이반성,36,남여혼합
1181,진주시,하촌경로당,진주시 이반성면 가산길 44 ,이반성,63,남여혼합
1182,진주시,대동경로당,진주시 이반성면 대천길 155번길 11 ,내동면,68,남여혼합
1183,진주시,오동경로당,진주시 이반성면 대천길 78 ,이반성,32,남여혼합
1184,진주시,심신경로당,진주시 이반성면 오봉산로405번길 13-2 ,이반성,22,남여혼합
1185,진주시,수성경로당,진주시 이반성면진마대로2498번길 53 ,이반성,25,남여혼합
1186,진주시,교풍경로당,진주시 이반성면진마대로2520번길 97 ,이반성,37,남여혼합
1187,진주시,평동경로당,진주시 이반성면 길성길 19번길 11 ,이반성,23,남여혼합
1188,진주시,계룡경로당,진주시 이반성면 길성길 77 ,이반성,31,남여혼합
1189,진주시,발산경로당,진주시 이반성면 발산길 11번길 16-3 ,이반성,47,남여혼합
1190,진주시,북마성경로당,진주시 지사로552번길 10 ,사봉면,49,남여혼합
1191,진주시,시곡경로당,진주시 지사로486번길 27 ,사봉면,10,남여혼합
1192,진주시,남마성경로당,진주시 지사로 349 ,사봉면,60,남여혼합
1193,진주시,등건경로당,진주시 지사로284번길 43-1 ,사봉면,51,남여혼합
1194,진주시,방촌경로당,진주시 지사로 158 ,사봉면,48,남여혼합
1195,진주시,죽항경로당,진주시 동부로1751번길 5 ,사봉면,37,남여혼합
1196,진주시,중촌경로당,진주시 동부로1769번길 31 ,이반성,36,남여혼합
1197,진주시,다무경로당,진주시 동부로 1859-1 ,사봉면,69,남여혼합
1198,진주시,진등경로당,진주시 사군로55번길 16 ,사봉면,33,남여혼합
1199,진주시,사봉경로당,진주시 사군로55번길 21 ,사봉면,90,남여혼합
1200,진주시,우곡경로당,진주시 우곡길 64 ,사봉면,63,남여혼합
